R,G,B,X,Y,Z,WX,WY,WZ
445.6315285,420.6579171,294.5974257,17.79079355,12.90271552,7.634825207,187.5779313,199.2578659,184.3082246
1037.460781,599.9591072,468.3377183,40.04107519,23.87424546,13.15015496,,,
1217.774711,563.4332865,355.775185,45.16466263,25.46374252,8.630717761,,,
1578.526374,864.319759,548.1355579,59.68094201,36.67644596,14.82481142,,,
2058.993402,1374.712556,868.0572691,82.45532157,55.16633666,24.91003969,,,
1927.97037,1667.777324,1208.728933,78.40771256,55.64428832,33.57364545,,,
1472.446063,948.957654,718.5686136,58.284385,37.17496387,21.0006975,,,
865.9150013,1422.041101,1127.664701,39.79912785,35.87115211,31.70289892,,,
1151.694056,1216.359169,1054.703593,48.29545343,35.84797328,30.56032908,,,
1423.06538,1912.803809,1405.18991,64.17336883,54.47102399,40.28104703,,,
2218.160546,2842.627159,2215.398963,96.82179064,79.42596527,61.92738064,,,
2586.700881,4190.279852,3295.970825,121.7577954,109.3272723,93.53970592,,,
2441.774774,4288.883274,3083.820753,117.1652092,110.8605764,85.68417034,,,
1743.927119,3053.308571,2283.635116,82.61120083,77.56745843,63.33795998,,,
1637.753048,3385.492246,2542.14681,80.19882884,80.47221628,69.51485405,,,
2144.89956,4358.855509,3066.959048,105.9225631,107.0950713,83.84823995,,,
1160.638831,2276.25292,1576.933178,55.46567403,55.33365037,41.96849616,,,
1441.325705,3215.609524,1972.024031,72.70324527,78.50371606,52.6204738,,,
306.5482451,527.2189741,333.205312,13.69031002,13.17085715,8.542596064,,,
576.2959097,821.4937536,477.4747309,24.71174713,22.21386547,12.06822172,,,
649.0810412,746.141883,339.890178,27.34628734,23.44277397,8.165978836,,,
1131.726075,1105.856151,461.2136056,47.46347822,38.46183313,12.07632262,,,
795.7456433,627.6342227,350.5681949,31.66132896,22.78833715,9.540216675,,,
1008.769378,1228.239354,681.609126,43.15123228,36.68337916,18.0933232,,,
1402.85771,1873.156654,1081.655344,62.28599039,54.7320599,29.32356985,,,
1299.951897,2064.072288,1235.586203,59.64425293,55.85154609,33.14202643,,,
1296.589972,1718.939374,803.0758068,61.70899757,56.08538185,24.88258463,,,
