R,G,B,X,Y,Z
0,0,0,0.11959,0.12996,0.14696
0,0,16,0.15511,0.14423,0.33577
0,0,32,0.26181,0.18789,0.90502
0,0,48,0.47947,0.2781,2.0653
0,0,64,0.82961,0.42527,3.9318
0,0,80,1.3678,0.65444,6.8016
0,0,96,2.0671,0.95597,10.528
0,0,112,2.9585,1.3473,15.287
0,0,128,4.0306,1.8248,21.009
0,0,144,5.342,2.4195,28.009
0,0,160,6.8159,3.0995,35.875
0,0,176,8.6108,3.9373,45.456
0,0,192,10.61,4.8791,56.122
0,0,208,12.942,6.0004,68.575
0,0,224,15.657,7.3333,83.043
0,0,240,18.7,8.8664,99.311
0,0,255,21.719,10.492,115.4
0,0,0,0.11928,0.12968,0.14658
0,16,16,0.19085,0.2662,0.36158
0,32,32,0.41149,0.68241,1.0266
0,48,48,0.86545,1.5508,2.3745
0,64,64,1.5969,2.951,4.5344
0,80,80,2.6875,5.0269,7.763
0,96,96,4.1276,7.8065,11.958
0,112,112,5.9553,11.311,17.289
0,128,128,8.1665,15.582,23.66
0,144,144,10.845,20.691,31.426
0,160,160,13.925,26.639,40.191
0,176,176,17.544,33.515,50.699
0,192,192,21.677,41.491,62.442
0,208,208,26.486,50.741,76.081
0,224,224,32.054,61.394,91.884
0,240,240,38.321,73.375,109.57
0,255,255,44.682,85.518,127.5
0,0,0,0.11932,0.12973,0.14655
0,16,0,0.1544,0.25179,0.16711
0,32,0,0.26213,0.62324,0.22869
0,48,0,0.48786,1.3992,0.35533
0,64,0,0.85299,2.6472,0.55892
0,80,0,1.394,4.4905,0.85644
0,96,0,2.119,6.9514,1.2518
0,112,0,3.0402,10.058,1.7457
0,128,0,4.1689,13.835,2.3506
0,144,0,5.5178,18.328,3.0545
0,160,0,7.0916,23.547,3.8782
0,176,0,8.9239,29.59,4.8224
0,192,0,11.069,36.601,5.9304
0,208,0,13.553,44.726,7.2022
0,224,0,16.416,54.032,8.6484
0,240,0,19.669,64.476,10.265
0,255,0,22.964,74.976,11.85
0,0,0,0.11888,0.12932,0.14575
16,16,16,0.31244,0.33025,0.36415
32,32,32,0.92664,0.96222,1.0405
48,48,48,2.1986,2.2726,2.4114
64,64,64,4.2072,4.3487,4.6064
80,80,80,7.1424,7.3779,7.8651
96,96,96,11.049,11.426,12.108
112,112,112,16.038,16.547,17.537
128,128,128,21.861,22.645,23.918
144,144,144,29.033,30.015,31.701
160,160,160,37.181,38.512,40.499
176,176,176,46.718,48.366,51.204
192,192,192,57.975,59.873,63.033
208,208,208,70.589,73.043,76.876
224,224,224,85.176,88.181,92.881
240,240,240,101.47,105.12,110.67
255,255,255,117.76,122.15,128.4
0,0,0,0.11893,0.12932,0.14589
16,0,16,0.27551,0.20419,0.3373
32,0,32,0.77039,0.44241,0.91486
48,0,48,1.796,0.93726,2.0879
64,0,64,3.4051,1.7153,3.9903
80,0,80,5.7988,2.8715,6.8942
96,0,96,8.9542,4.4053,10.667
112,0,112,12.977,6.3601,15.497
128,0,128,17.649,8.6463,21.211
144,0,144,23.459,11.495,28.276
160,0,160,30.015,14.72,36.157
176,0,176,37.776,18.541,45.915
192,0,192,46.934,23.067,56.589
208,0,208,57.117,28.126,69.394
224,0,224,68.879,33.987,83.913
240,0,240,82.118,40.633,100.33
255,0,255,95.179,47.251,116.72
0,0,0,0.11933,0.1297,0.14656
16,0,0,0.23715,0.18865,0.15038
32,0,0,0.60669,0.37378,0.16196
48,0,0,1.3858,0.76348,0.18407
64,0,0,2.6117,1.3774,0.21859
80,0,0,4.4379,2.29,0.27041
96,0,0,6.8625,3.5032,0.34017
112,0,0,9.9826,5.0643,0.4146
128,0,0,13.571,6.8596,0.5098
144,0,0,18.07,9.1118,0.62485
160,0,0,23.148,11.651,0.73448
176,0,0,29.044,14.601,0.86441
192,0,0,36.214,18.178,0.9857
208,0,0,44.003,22.091,1.2548
224,0,0,53.161,26.683,1.3979
240,0,0,63.271,31.721,1.6285
255,0,0,73.364,36.787,1.8281
0,0,0,0.11933,0.1296,0.14631
16,16,0,0.2734,0.31488,0.1713
32,32,0,0.75649,0.89364,0.24786
48,48,0,1.7707,2.0982,0.40484
64,64,0,3.3835,4.0124,0.64972
80,80,0,5.7585,6.8147,1.0084
96,96,0,8.9282,10.553,1.4765
112,112,0,12.966,15.253,2.0671
128,128,0,17.722,20.892,2.7481
144,144,0,23.573,27.673,3.6004
160,160,0,30.249,35.51,4.5271
176,176,0,37.984,44.548,5.5882
192,192,0,47.295,55.164,6.8885
208,208,0,57.628,67.283,8.3481
224,224,0,69.652,81.193,10.049
240,240,0,82.984,96.72,11.768
255,255,0,96.386,112.22,13.63
